1 17.434 3.951426e-01 5.843211e+00 1.119561e+01	1 22.9985 4.843902e-01 5.985260e+00 1.652885e+01
2 23.6155 2.578159e-01 4.575410e+00 1.878231e+01	2 12.8161 2.777244e-01 4.083899e+00 8.454459e+00
3 17.9929 2.350266e-01 4.218174e+00 1.353971e+01	3 8.3668 1.927680e-01 2.618668e+00 5.555360e+00
4 13.2895 1.967275e-01 3.281580e+00 9.811151e+00	4 6.36498 1.506484e-01 2.038569e+00 4.175760e+00
5 10.841 1.774234e-01 2.727585e+00 7.935984e+00	5 7.23323 1.264524e-01 1.684801e+00 5.421976e+00
6 14.344 1.813044e-01 2.450247e+00 1.171247e+01	6 4.35021 1.113946e-01 1.366833e+00 2.871982e+00
7 12.5326 1.858744e-01 2.248365e+00 1.009836e+01	7 3.72028 9.840760e-02 1.219515e+00 2.402355e+00
8 7.10079 1.932195e-01 2.175686e+00 4.731886e+00	8 3.32284 9.324160e-02 1.118558e+00 2.111043e+00
9 6.58905 1.840032e-01 2.054417e+00 4.350629e+00	9 3.03646 8.685940e-02 1.025493e+00 1.924107e+00
10 6.21579 1.986441e-01 2.105453e+00 3.911696e+00	10 2.77557 8.894820e-02 9.890724e-01 1.697548e+00
11 11.5163 1.977565e-01 2.112375e+00 9.206201e+00	11 2.57397 8.377760e-02 9.418954e-01 1.548293e+00
12 7.43306 1.966864e-01 2.130995e+00 5.105381e+00	12 2.41522 8.131760e-02 8.864974e-01 1.447405e+00
