1 1.299956e-01	1.299956e-01	1.299956e-01
2 6.880440e-02	6.880440e-02	6.880440e-02
4 3.666240e-02	3.666240e-02	3.666240e-02
6 2.546480e-02	2.546480e-02	2.546480e-02
8 1.872980e-02	1.872980e-02	1.872980e-02
10 1.628360e-02	1.628360e-02	1.628360e-02
12 1.414180e-02	1.414180e-02	1.414180e-02
14 1.188840e-02	1.188840e-02	1.188840e-02
16 1.012680e-02	1.012680e-02	1.012680e-02
18 1.002320e-02	1.002320e-02	1.002320e-02
20 1.046960e-02	1.046960e-02	1.046960e-02
22 7.660400e-03	7.660400e-03	7.660400e-03
24 7.582600e-03	7.582600e-03	7.582600e-03
