1 18.9788 4.038776e-01 6.199121e+00 1.237580e+01	1 18.9548 4.879138e-01 6.118936e+00 1.234798e+01
2 20.6416 3.036372e-01 5.862085e+00 1.447590e+01	2 13.2762 2.935482e-01 4.307059e+00 8.675616e+00
3 23.4576 2.082266e-01 3.992550e+00 1.925687e+01	3 8.60619 2.043930e-01 2.755107e+00 5.646686e+00
4 17.6781 1.766882e-01 3.096148e+00 1.440524e+01	4 6.3372 1.561968e-01 2.102889e+00 4.078114e+00
5 9.84009 1.591552e-01 2.531923e+00 7.149013e+00	5 5.06247 1.298002e-01 1.623781e+00 3.308884e+00
6 14.0821 1.583720e-01 2.229711e+00 1.169404e+01	6 4.30538 1.130950e-01 1.453258e+00 2.739031e+00
7 6.42618 1.515572e-01 1.944839e+00 4.329785e+00	7 3.59925 1.005610e-01 1.205608e+00 2.293084e+00
8 10.8712 1.543724e-01 1.832114e+00 8.884724e+00	8 3.28582 9.161300e-02 1.109205e+00 2.085002e+00
9 8.4278 1.428044e-01 1.706296e+00 6.578701e+00	9 2.90672 9.593480e-02 9.848320e-01 1.825950e+00
10 8.19034 1.463442e-01 1.616908e+00 6.427083e+00	10 2.72429 8.312400e-02 9.684804e-01 1.672683e+00
11 8.24403 1.501356e-01 1.598138e+00 6.495758e+00	11 2.52472 8.042820e-02 9.141476e-01 1.530141e+00
12 7.76536 1.530312e-01 1.550987e+00 6.061343e+00	12 2.74384 1.039160e-01 1.047950e+00 1.591973e+00
