1 1.499656e-01	1.499656e-01	1.499656e-01
2 8.159680e-02	8.159680e-02	8.159680e-02
4 4.488240e-02	4.488240e-02	4.488240e-02
6 3.316020e-02	3.316020e-02	3.316020e-02
8 2.407700e-02	2.407700e-02	2.407700e-02
10 2.113140e-02	2.113140e-02	2.113140e-02
12 1.817160e-02	1.817160e-02	1.817160e-02
14 1.518360e-02	1.518360e-02	1.518360e-02
16 1.249000e-02	1.249000e-02	1.249000e-02
18 1.231340e-02	1.231340e-02	1.231340e-02
20 1.096120e-02	1.096120e-02	1.096120e-02
22 9.514200e-03	9.514200e-03	9.514200e-03
24 1.120840e-02	1.120840e-02	1.120840e-02
