1 18.8649 4.116908e-01 6.159379e+00 1.229381e+01	1 19.2667 4.765546e-01 6.222269e+00 1.256790e+01
2 20.4908 2.686893e-01 4.664985e+00 1.555710e+01	2 13.1903 2.841224e-01 4.300572e+00 8.605573e+00
3 16.8089 2.262134e-01 4.004162e+00 1.257851e+01	3 12.5993 2.011546e-01 2.850169e+00 9.547950e+00
4 17.0225 2.060315e-01 3.171643e+00 1.364478e+01	4 6.39063 1.582374e-01 2.052209e+00 4.180182e+00
5 13.9063 1.884726e-01 2.710996e+00 1.100687e+01	5 5.21545 1.258506e-01 1.697708e+00 3.391895e+00
6 14.0853 1.836176e-01 2.412437e+00 1.148928e+01	6 4.38063 1.088524e-01 1.423655e+00 2.848124e+00
7 13.8245 1.930646e-01 2.227543e+00 1.140387e+01	7 3.7786 9.928040e-02 1.257737e+00 2.421580e+00
8 13.5175 1.970412e-01 2.174304e+00 1.114615e+01	8 3.41826 9.570820e-02 1.154928e+00 2.167621e+00
9 9.50436 1.925885e-01 2.141475e+00 7.170293e+00	9 3.04642 8.865020e-02 1.043956e+00 1.913813e+00
10 9.18432 1.995860e-01 2.118642e+00 6.866092e+00	10 2.83878 8.749000e-02 1.014944e+00 1.736344e+00
11 9.26932 1.911105e-01 2.131295e+00 6.946919e+00	11 2.63681 8.324280e-02 9.552414e-01 1.598329e+00
12 6.9673 2.063382e-01 2.274521e+00 4.486440e+00	12 2.51535 8.533180e-02 9.274704e-01 1.502549e+00
