1 4.072313e-01	1.124525e+01	1.636111e+01
2 2.200387e-01	5.824298e+00	8.209736e+00
4 1.136783e-01	3.152690e+00	4.331367e+00
6 7.593033e-02	2.163434e+00	2.868547e+00
8 5.894033e-02	1.711990e+00	2.223505e+00
10 4.946600e-02	1.457972e+00	1.923763e+00
12 4.396333e-02	1.319688e+00	1.736577e+00
14 3.999433e-02	1.217245e+00	1.462535e+00
16 3.864733e-02	1.180326e+00	1.399205e+00
18 3.788933e-02	1.145588e+00	1.353722e+00
20 3.733833e-02	1.166244e+00	1.421863e+00
22 3.680233e-02	1.107836e+00	1.295251e+00
24 3.696333e-02	1.131229e+00	1.327255e+00
