1 1.293228e-01	1.293228e-01	1.293228e-01
2 7.404840e-02	7.404840e-02	7.404840e-02
4 3.838540e-02	3.838540e-02	3.838540e-02
6 2.867000e-02	2.867000e-02	2.867000e-02
8 2.137680e-02	2.137680e-02	2.137680e-02
10 1.876980e-02	1.876980e-02	1.876980e-02
12 1.718420e-02	1.718420e-02	1.718420e-02
14 1.534280e-02	1.534280e-02	1.534280e-02
16 1.391720e-02	1.391720e-02	1.391720e-02
18 1.441640e-02	1.441640e-02	1.441640e-02
20 1.478580e-02	1.478580e-02	1.478580e-02
22 1.267580e-02	1.267580e-02	1.267580e-02
24 1.332120e-02	1.332120e-02	1.332120e-02
